country_code,year,medal_value
LAT,1992,5
LAT,1996,2
LAT,2000,6
LAT,2004,8
LAT,2008,6
LIB,1952,3
LIB,1972,2
LIB,1980,1
LTU,1992,15
LTU,1996,12
LTU,2000,21
LTU,2004,7
LTU,2008,7
LUX,1920,2
LUX,1952,3
MAR,1960,2
MAR,1984,6
MAR,1988,5
MAR,1992,6
MAR,1996,2
MAR,2000,6
MAR,2004,8
MAR,2008,3
MAS,1992,2
MAS,1996,5
MAS,2008,2
MDA,1996,5
MDA,2000,3
MDA,2008,1
MEX,1932,4
MEX,1936,16
MEX,1948,18
MEX,1952,2
MEX,1956,4
MEX,1960,1
MEX,1964,1
MEX,1968,18
MEX,1972,2
MEX,1976,4
MEX,1980,13
MEX,1984,13
MEX,1988,2
MEX,1992,2
MEX,1996,1
MEX,2000,10
MEX,2004,7
MEX,2008,8
MGL,1968,5
MGL,1972,2
MGL,1976,2
MGL,1980,6
MGL,1988,1
MGL,1992,2
MGL,1996,1
MGL,2004,1
MGL,2008,10
MKD,2000,1
MOZ,1996,1
MOZ,2000,3
MRI,2008,1
NAM,1992,4
NAM,1996,4
NED,1900,25
NED,1908,11
NED,1912,22
NED,1920,86
NED,1924,43
NED,1928,144
NED,1932,26
NED,1936,62
NED,1948,60
NED,1952,36
NED,1960,4
NED,1964,49
NED,1968,33
NED,1972,13
NED,1976,17
NED,1980,7
NED,1984,86
NED,1988,55
NED,1992,63
NED,1996,158
NED,2000,162
NED,2004,134
NED,2008,160
NGR,1964,1
NGR,1972,1
NGR,1984,6
NGR,1992,18
NGR,1996,68
NGR,2000,16
NGR,2004,8
NGR,2008,42
NIG,1972,1
NOR,1900,15
NOR,1908,92
NOR,1912,164
NOR,1920,313
NOR,1924,65
NOR,1928,21
NOR,1936,42
NOR,1948,28
NOR,1952,31
NOR,1956,5
NOR,1960,6
NOR,1968,16
NOR,1972,14
NOR,1976,14
NOR,1984,5
NOR,1988,48
NOR,1992,47
NOR,1996,32
NOR,2000,90
NOR,2004,17
NOR,2008,59
NZL,1920,1
NZL,1924,1
NZL,1928,3
NZL,1932,4
NZL,1936,3
NZL,1952,5
NZL,1956,9
NZL,1960,7
NZL,1964,14
NZL,1968,17
NZL,1972,36
NZL,1976,62
NZL,1984,56
NZL,1988,36
NZL,1992,26
NZL,1996,17
NZL,2000,6
NZL,2004,16
NZL,2008,24
PAK,1956,28
PAK,1960,40
PAK,1964,32
PAK,1968,39
PAK,1972,30
PAK,1976,16
PAK,1984,48
PAK,1988,1
PAK,1992,16
PAN,1948,2
PAN,2008,3
PAR,2004,34
PER,1948,3
PER,1984,2
PER,1988,24
PER,1992,2
PHI,1928,1
PHI,1932,3
PHI,1936,1
PHI,1964,2
PHI,1988,1
PHI,1992,1
PHI,1996,2
POL,1924,9
POL,1928,23
POL,1932,26
POL,1936,14
POL,1948,1
POL,1952,8
POL,1956,30
POL,1960,49
POL,1964,81
POL,1968,49
POL,1972,108
POL,1976,138
POL,1980,81
POL,1988,34
POL,1992,70
POL,1996,42
POL,2000,48
POL,2004,22
POL,2008,45
POR,1924,3
POR,1936,3
POR,1948,7
POR,1952,2
POR,1960,4
POR,1976,4
POR,1984,5
POR,1988,3
POR,1996,5
POR,2000,2
POR,2004,5
POR,2008,5
PRK,1972,18
PRK,1976,5
PRK,1980,8
PRK,1992,18
PRK,1996,10
PRK,2000,5
PRK,2004,9
PRK,2008,11
PUR,1948,1
PUR,1976,1
PUR,1984,3
PUR,1992,1
PUR,1996,1
QAT,1992,1
QAT,2000,1
ROU,1924,23
ROU,1936,4
ROU,1952,7
ROU,1956,34
ROU,1960,22
ROU,1964,24
ROU,1968,42
ROU,1972,56
ROU,1976,91
ROU,1980,101
ROU,1984,217
ROU,1988,97
ROU,1992,100
ROU,1996,74
ROU,2000,106
ROU,2004,90
ROU,2008,33
RSA,1908,5
RSA,1912,19
RSA,1920,39
RSA,1924,6
RSA,1928,8
RSA,1932,9
RSA,1936,2
RSA,1948,9
RSA,1952,26
RSA,1956,7
RSA,1960,4
RSA,1992,6
RSA,1996,12
RSA,2000,7
RSA,2004,21
RSA,2008,2
RU1,1908,7
RU1,1912,19
RUS,1996,232
RUS,2000,388
RUS,2004,335
RUS,2008,273
SCG,2004,28
SEN,1988,2
SIN,1960,2
SIN,2008,6
SLO,1992,6
SLO,1996,4
SLO,2000,9
SLO,2004,7
SLO,2008,9
SRB,2008,16
SRI,1948,2
SRI,2000,2
SUD,2008,2
SUI,1896,7
SUI,1900,42
SUI,1904,4
SUI,1920,43
SUI,1924,122
SUI,1928,69
SUI,1932,2
SUI,1936,71
SUI,1948,64
SUI,1952,56
SUI,1956,3
SUI,1960,16
SUI,1964,12
SUI,1968,16
SUI,1972,16
SUI,1976,15
SUI,1980,6
SUI,1984,24
SUI,1988,14
SUI,1992,3
SUI,1996,27
SUI,2000,27
SUI,2004,11
SUI,2008,17
SUR,1988,3
SUR,1992,1
SVK,1996,6
SVK,2000,13
SVK,2004,18
SVK,2008,23
SWE,1900,1
SWE,1908,254
SWE,1912,407
SWE,1920,288
SWE,1924,117
SWE,1928,58
SWE,1932,62
SWE,1936,59
SWE,1948,146
SWE,1952,140
SWE,1956,76
SWE,1960,13
SWE,1964,25
SWE,1968,21
SWE,1972,38
SWE,1976,29
SWE,1980,30
SWE,1984,56
SWE,1988,21
SWE,1992,64
SWE,1996,60
SWE,2000,60
SWE,2004,27
SWE,2008,12
SYR,1984,2
SYR,1996,3
SYR,2004,1
TAN,1980,4
TCH,1920,10
TCH,1924,16
TCH,1928,32
TCH,1932,8
TCH,1936,39
TCH,1948,51
TCH,1952,51
TCH,1956,14
TCH,1960,37
TCH,1964,103
TCH,1968,50
TCH,1972,54
TCH,1976,23
TCH,1980,106
TCH,1988,20
TCH,1992,19
TGA,1996,2
THA,1976,1
THA,1984,2
THA,1988,1
THA,1992,1
THA,1996,4
THA,2000,5
THA,2004,15
THA,2008,10
TJK,2008,3
TOG,2008,1
TPE,1960,2
TPE,1968,1
TPE,1984,1
TPE,1992,40
TPE,1996,2
TPE,2000,6
TPE,2004,17
TPE,2008,4
TRI,1948,2
TRI,1952,2
TRI,1964,7
