country_code,1896,1900,1904,1908,1912,1920,1924,1928,1932,1936,1948,1952,1956,1960,1964,1968,1972,1976,1980,1984,1988,1992,1996,2000,2004,2008
ITA,..,10.0,..,16.0,58.0,229.0,106.0,127.0,157.0,173.0,134.0,108.0,107.0,178.0,104.0,50.0,46.0,60.0,74.0,127.0,61.0,100.0,133.0,123.0,189.0,72.0
JAM,..,..,..,..,..,..,..,..,..,..,7.0,21.0,..,..,..,2.0,1.0,5.0,3.0,10.0,10.0,7.0,21.0,37.0,26.0,38.0
JPN,..,..,..,..,..,6.0,1.0,17.0,68.0,43.0,..,23.0,47.0,57.0,133.0,128.0,133.0,97.0,..,77.0,31.0,61.0,75.0,83.0,156.0,108.0
KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.0,17.0,14.0,21.0
KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,25.0,25.0,..,..,5.0,21.0,16.0,14.0,14.0,13.0,30.0
KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,3.0
KOR,..,..,..,..,..,..,..,..,..,..,2.0,2.0,3.0,..,5.0,3.0,2.0,20.0,..,83.0,170.0,110.0,135.0,123.0,108.0,171.0
KSA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..
KUW,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..
LAT,..,..,..,..,..,..,..,..,2.0,3.0,..,..,..,..,..,..,..,..,..,..,..,5.0,2.0,6.0,8.0,6.0
LIB,..,..,..,..,..,..,..,..,..,..,..,3.0,..,..,..,..,2.0,..,1.0,..,..,..,..,..,..,..
LTU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.0,12.0,21.0,7.0,7.0
LUX,..,..,..,..,..,2.0,..,..,..,..,..,3.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..
MAR,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,6.0,5.0,6.0,2.0,6.0,8.0,3.0
MAS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,5.0,..,..,2.0
MDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.0,3.0,..,1.0
MEX,..,..,..,..,..,..,..,..,4.0,16.0,18.0,2.0,4.0,1.0,1.0,18.0,2.0,4.0,13.0,13.0,2.0,2.0,1.0,10.0,7.0,8.0
MGL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.0,2.0,2.0,6.0,..,1.0,2.0,1.0,..,1.0,10.0
MKD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..
MOZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,3.0,..,..
MRI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0
NAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.0,4.0,..,..,..
NED,..,25.0,..,11.0,22.0,86.0,43.0,144.0,26.0,62.0,60.0,36.0,..,4.0,49.0,33.0,13.0,17.0,7.0,86.0,55.0,63.0,158.0,162.0,134.0,160.0
NGR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,1.0,..,..,6.0,..,18.0,68.0,16.0,8.0,42.0
NIG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..,..,..,..,..
NOR,..,15.0,..,92.0,164.0,313.0,65.0,21.0,..,42.0,28.0,31.0,5.0,6.0,..,16.0,14.0,14.0,..,5.0,48.0,47.0,32.0,90.0,17.0,59.0
NZL,..,..,..,..,..,1.0,1.0,3.0,4.0,3.0,..,5.0,9.0,7.0,14.0,17.0,36.0,62.0,..,56.0,36.0,26.0,17.0,6.0,16.0,24.0
PAK,..,..,..,..,..,..,..,..,..,..,..,..,28.0,40.0,32.0,39.0,30.0,16.0,..,48.0,1.0,16.0,..,..,..,..
PAN,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.0
PAR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.0,..
PER,..,..,..,..,..,..,..,..,..,..,3.0,..,..,..,..,..,..,..,..,2.0,24.0,2.0,..,..,..,..
PHI,..,..,..,..,..,..,..,1.0,3.0,1.0,..,..,..,..,2.0,..,..,..,..,..,1.0,1.0,2.0,..,..,..
POL,..,..,..,..,..,..,9.0,23.0,26.0,14.0,1.0,8.0,30.0,49.0,81.0,49.0,108.0,138.0,81.0,..,34.0,70.0,42.0,48.0,22.0,45.0
POR,..,..,..,..,..,..,3.0,..,..,3.0,7.0,2.0,..,4.0,..,..,..,4.0,..,5.0,3.0,..,5.0,2.0,5.0,5.0
PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.0,5.0,8.0,..,..,18.0,10.0,5.0,9.0,11.0
PUR,..,..,..,..,..,..,..,..,..,..,1.0,..,..,..,..,..,..,1.0,..,3.0,..,1.0,1.0,..,..,..
QAT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0,..,1.0,..,..
ROU,..,..,..,..,..,..,23.0,..,..,4.0,..,7.0,34.0,22.0,24.0,42.0,56.0,91.0,101.0,217.0,97.0,100.0,74.0,106.0,90.0,33.0
RSA,..,..,..,5.0,19.0,39.0,6.0,8.0,9.0,2.0,9.0,26.0,7.0,4.0,..,..,..,..,..,..,..,6.0,12.0,7.0,21.0,2.0
RU1,..,..,..,7.0,19.0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
RUS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,232.0,388.0,335.0,273.0
SCG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,28.0,..
SEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..
SIN,..,..,..,..,..,..,..,..,..,..,..,..,..,2.0,..,..,..,..,..,..,..,..,..,..,..,6.0
SLO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.0,4.0,9.0,7.0,9.0
SRB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16.0
