,year,sport,discipline,athlete,country_code,gender,event,medal,medal_value
21213,1992,Weightlifting,Weightlifting,"CIHAREAN, Traian Ioachim",ROU,Men,"- 52kg, total (flyweight)",Bronze,1
21212,1992,Volleyball,Volleyball,"VASSILEVSKAIA, Svetlana",EUN,Women,volleyball,Silver,2
21211,1992,Volleyball,Volleyball,"TYURINA, Elena",EUN,Women,volleyball,Silver,2
21210,1992,Volleyball,Volleyball,"TCHEBOUKINA, Elena",EUN,Women,volleyball,Silver,2
21209,1992,Volleyball,Volleyball,"SMIRNOVA, Irina",EUN,Women,volleyball,Silver,2
21208,1992,Volleyball,Volleyball,"SIDORENKO, Tatyana",EUN,Women,volleyball,Silver,2
21207,1992,Volleyball,Volleyball,"OGIENKO, Valentina",EUN,Women,volleyball,Silver,2
21206,1992,Volleyball,Volleyball,"NIKOULINA, Marina",EUN,Women,volleyball,Silver,2
21205,1992,Volleyball,Volleyball,"MOROZOVA, Natalia",EUN,Women,volleyball,Silver,2
21204,1992,Volleyball,Volleyball,"MENCHOVA, Tatiana",EUN,Women,volleyball,Silver,2
21203,1992,Volleyball,Volleyball,"LEBEDEVA, Galina",EUN,Women,volleyball,Silver,2
21202,1992,Volleyball,Volleyball,"KORITOVA, Svetlana",EUN,Women,volleyball,Silver,2
21201,1992,Volleyball,Volleyball,"ARTAMONOVA, Evgenya",EUN,Women,volleyball,Silver,2
21200,1992,Volleyball,Volleyball,"TORRES, Regla",CUB,Women,volleyball,Gold,3
21199,1992,Volleyball,Volleyball,"ORTIZ CALVO, Tania",CUB,Women,volleyball,Gold,3
21222,1992,Weightlifting,Weightlifting,"BOTEV, Stefan",BUL,Men,"100 - 110kg, total (heavyweight)",Bronze,1
21197,1992,Volleyball,Volleyball,"LUIS, Alejandrina",CUB,Women,volleyball,Gold,3
21223,1992,Weightlifting,Weightlifting,"WELLER, Ronny",GER,Men,"100 - 110kg, total (heavyweight)",Gold,3
21225,1992,Weightlifting,Weightlifting,"HE, Ying-Qiang",CHN,Men,"56 - 60kg, total (featherweight)",Bronze,1
21248,1992,Wrestling,Wrestling Free.,"DIMITROV, Valentin Yordanov",BUL,Men,48 - 52kg (flyweight),Bronze,1
21247,1992,Wrestling,Wrestling Free.,"THUE, Jeffrey James Milton",CAN,Men,100 - 130kg (super heavyweight),Silver,2
21246,1992,Wrestling,Wrestling Free.,"BAUMGARTNER, Bruce Robert",USA,Men,100 - 130kg (super heavyweight),Gold,3
21245,1992,Wrestling,Wrestling Free.,"GOBEDJICHVILI, David",EUN,Men,100 - 130kg (super heavyweight),Bronze,1
21244,1992,Wrestling,Wrestling Free.,"KIM, Jong-Shin",KOR,Men,- 48kg (light-flyweight),Silver,2
21243,1992,Wrestling,Wrestling Free.,"KIM, Il",PRK,Men,- 48kg (light-flyweight),Gold,3
21242,1992,Wrestling,Wrestling Free.,"ORUDZHOV, Vougar",EUN,Men,- 48kg (light-flyweight),Bronze,1
21241,1992,Weightlifting,Weightlifting,"TAIMAZOV, Timour",EUN,Men,"90 - 100kg, total (first-heavyweight)",Silver,2
21240,1992,Weightlifting,Weightlifting,"TREGOUBOV, Victor",EUN,Men,"90 - 100kg, total (first-heavyweight)",Gold,3
21239,1992,Weightlifting,Weightlifting,"MALAK, Waldemar",POL,Men,"90 - 100kg, total (first-heavyweight)",Bronze,1
21238,1992,Weightlifting,Weightlifting,"SYRTSOV, Serguei",EUN,Men,"82.5 - 90kg, total (middle-heavyweight)",Silver,2
